Pin Name,IO Type,Function2,Function3,Function4,Function5,Function6,Function7,Function8,Function9,Function10,Function14
PD1,I/O,,NCSI-PCLK,RMII-RXD1,PWM0-0,SDC1-D1,TWI0-SCK,SPI1-CS0/DBI-CSX,SPI2-CS0,,PD-EINT1
PD2,I/O,,NCSI-MCLK,RMII-TXCK,PWM0-1,SDC1-D0,TWI0-SDA,SPI1-CLK/DBI-SCLK,SPI2-CLK,,PD-EINT2
PD3,I/O,,NCSI-HSYNC,RMII-CRS-DV,PWM0-2,SDC1-CLK,TWI1-SCK,SPI1-MOSI/DBI-SDO,SPI2-MOSI,,PD-EINT3
PD4,I/O,,NCSI-VSYNC,RMII-RXD0,PWM0-3,SDC1-CMD,TWI1-SDA,SPI1-MISO/DBI-SDI/DBI-TE/DBI-DCX,SPI2-MISO,,PD-EINT4
PD5,I/O,,NCSI-D0,RMII-TXD0,PWM0-4,SDC1-D3,SPI1-CLK,SPI1-HOLD/DBI-DCX/DBI-WRX,SPI2-HOLD,,PD-EINT5
PD6,I/O,,NCSI-D1,RMII-TXD1,PWM0-5,SDC1-D2,SPI1-MOSI,SPI1-WP/DBI-TE,SPI2-WP,,PD-EINT6
PD7,I/O,,NCSI-D2,RMII-TXEN,PWM0-6,UART1-CTS,SPI1-MISO,R-JTAG1-TCK,I2S0-DOUT0,I2S0-DIN0,PD-EINT7
PD8,I/O,,NCSI-D3,RMII-RXER,PWM0-7,UART1-RTS,SPI1-CS0,R-JTAG1-TMS,I2S0-DOUT1,I2S0-DIN1,PD-EINT8
PD9,I/O,,NCSI-D4,RMII-MDC,PWM0-8,UART1-TX,TWI2-SCK,,I2S0-DOUT2,I2S0-DIN2,PD-EINT9
PD10,I/O,,NCSI-D5,RMII-MDIO,PWM0-9,UART1-RX,TWI2-SDA,,I2S0-DOUT3,I2S0-DIN3,PD-EINT10
PD11,I/O,,NCSI-D6,RMII-EPHY-25M,PWM0-10,I2S0-MCLK,PWM0-0,,,,PD-EINT11
PD12,I/O,,NCSI-D7,PWM0-2,SPI1-CLK,I2S0-BCLK,CLK-FANOUT0,,,,PD-EINT12
PD13,I/O,,NCSI-D8,PWM0-3,SPI1-MOSI,I2S0-LRCK,TWI1-SCK,,,,PD-EINT13
PD14,I/O,,NCSI-D9,PWM0-4,SPI1-MISO,I2S0-DIN0,TWI1-SDA,SPI1-CS0/DBI-CSX,SPI2-CS0,,PD-EINT14
PD15,I/O,,NCSI-D10,PWM0-5,SPI1-CS0,I2S0-DOUT0,TWI2-SCK,SPI1-CLK/DBI-SCLK,SPI2-CLK,,PD-EINT15
PD16,I/O,,NCSI-D11,PWM0-6,SPI1-CS1,CSI-SM-VS,TWI2-SDA,SPI1-MOSI/DBI-SDO,SPI2-MOSI,,PD-EINT16
PD17,I/O,,,PWM0-7,PWM0-11,SDC1-CLK,FEM-CTRL0,SPI1-MISO/DBI-SDI/DBI-TE/DBI-DCX,SPI2-MISO,,PD-EINT17
PD18,I/O,,,PWM0-8,TWI1-SCK,SDC1-CMD,FEM-CTRL1,SPI1-HOLD/DBI-DCX/DBI-WRX,SPI2-HOLD,,PD-EINT18
PD19,I/O,,,PWM0-9,TWI1-SDA,SDC1-D0,,SPI1-WP/DBI-TE,SPI2-WP,,PD-EINT19
PD22,I/O,,UART0-TX,R-JTAG0-TCK,PWM0-10,SDC1-D3,FEM-CTRL0,TWI2-SCK,,,PD-EINT22
PD23,I/O,,UART0-RX,R-JTAG0-TMS,PWM0-11,SDC1-D2,FEM-CTRL1,TWI2-SDA,,,PD-EINT23
PMC-EN0/PL0,I/O,TWI1-SCK,,,,,,,,,PL-EINT0
PMC-EN1/PL1,I/O,TWI1-SDA,,,,,,,,,PL-EINT1
PMC-EN2/PL2,I/O,TWI2-SCK,UART3-TX,UART2-CTS,,,,,,,PL-EINT2
PL3,I/O,TWI2-SDA,UART3-RX,UART2-RTS,,,,,,,PL-EINT3
X32KIN/PL4,I/O,TWI0-SCK,UART0-TX,UART2-TX,,,,,,,PL-EINT4
X32KOUT/PL5,I/O,TWI0-SDA,UART0-RX,UART2-RX,,,,,,,PL-EINT5
TEST/PL6,I/O,CSI-SM-VS,,,,,,,,,PL-EINT6
PL7,I/O,,,,,,,,,,PL-EINT7
